 its manufacturer, online service providers, academic researchers, entertainment companies, users' professor/teacher, users' medical doctor, users' social media accounts, government agencies, users' employer, users' immediate family members
0.0,-2.0,0.0,-2.0,-1.0,2.0,-1.0,-2.0,-2.0,-1.0
-1.0,-2.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,2.0,-1.0,-1.0,1.0,-2.0,-2.0,-2.0,0.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
-2.0,-2.0,1.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,0.0
1.0,-1.0,1.0,-2.0,0.0,2.0,-2.0,-2.0,0.0,1.0
-2.0,-2.0,1.0,0.0,0.0,1.0,-2.0,-2.0,0.0,0.0
-2.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-2.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,-2.0,0.0,-1.0,-2.0,1.0,-2.0,-2.0,-1.0,1.0
0.0,1.0,1.0,0.0,-2.0,-2.0,-1.0,-2.0,1.0,-2.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
-2.0,0.0,2.0,1.0,1.0,-1.0,-1.0,-2.0,1.0,-1.0
2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0
0.0,-1.0,2.0,-1.0,2.0,2.0,-2.0,0.0,1.0,1.0
-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,1.0,-2.0,0.0,1.0,-2.0,-1.0,0.0,-1.0
-2.0,-2.0,1.0,-2.0,0.0,2.0,-1.0,-1.0,-1.0,2.0
-2.0,-2.0,2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0
-1.0,-2.0,1.0,-2.0,1.0,-1.0,-2.0,-2.0,-2.0,0.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0
-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0
-1.0,-2.0,2.0,-2.0,1.0,1.0,-1.0,-2.0,-1.0,0.0
-2.0,-2.0,1.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,2.0
1.0,-1.0,1.0,1.0,1.0,2.0,-1.0,0.0,1.0,-1.0
1.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0.0,1.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
-2.0,-2.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-1.0
0.0,-1.0,2.0,-1.0,0.0,2.0,-2.0,-1.0,-1.0,1.0
-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0
-2.0,-2.0,0.0,0.0,0.0,2.0,-1.0,-2.0,-2.0,2.0
-2.0,-2.0,1.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0
0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0
1.0,-2.0,2.0,0.0,1.0,2.0,-1.0,-2.0,-1.0,0.0
-1.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0
-2.0,-1.0,2.0,-2.0,1.0,2.0,-2.0,-2.0,-1.0,0.0
1.0,1.0,0.0,0.0,0.0,2.0,1.0,-2.0,-2.0,1.0
2.0,-1.0,1.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,1.0
