Age Group,Country,What is your gender? [Woman],What is your gender? [Man],What is your gender? [Non-binary],What is your gender? [Prefer not to say],What is your gender? [Other],What is the highest level of education you have completed?,What is the highest level of education you have completed? [Other],Field of Education
25 - 34 years old,greece,No,Yes,No,No,,"Trade, technical, or vocational training",,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Doctorate,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,france,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,poland,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,spain,Yes,No,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
55 - 64 years old,italy,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Some college,,"I have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,italy,Yes,No,No,No,,"Trade, technical, or vocational training",,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,spain,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,poland,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,finland,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,greece,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
